,smiles,id,hlogp,MW,logP,HBD,HBA,TPSA,qed,RotableBonds
0,CC1=C(C2=CC=C(F)C=C2)N=C(NC(C2=C(C)C3=C(CCCC3=O)O2)=O)S1,MCULE-5952114745,H27P490,384.4320000000002,4.930340000000002,1.0,5.0,72.2,0.6948799132808505,3.0
1,CC(N(C(NC1C2OC(CC2)C1)=O)C)CS(C)(=O)=O,MCULE-2112713449,H19P030,290.38499999999993,0.3808000000000002,1.0,4.0,75.71000000000001,0.8119865842788053,4.0
2,S(=O)(=O)(C1C=CC2=C(C=1)N=C(N2C1CCCC1)C)N1CCC(CC1)C(=O)NC1=CC=CC(C)=C1C,MCULE-9500741213,H35P500,494.6610000000003,5.116060000000005,1.0,5.0,84.30000000000001,0.5338082295067268,5.0
3,N1CCCCC1CC1=CC=NC=C1,MCULE-1431757393,H13P170,176.263,1.7662,1.0,2.0,24.92,0.7424669401914862,2.0
4,N1(CCC2C=CC(CNC(=O)NC3=CC=CC=C3C)=CC1=2)C(C1=CC=CC=C1)=O,MCULE-7619309356,H29P450,385.4670000000001,4.519620000000003,2.0,2.0,61.440000000000005,0.6936293120911703,4.0
5,N1(C(CCCC)C(=O)OCC(=O)C2C=CC(=CC=2)C)C(=O)C2=C(C=CC=C2)C1=O,MCULE-1067362480,H29P350,393.43900000000014,3.5759200000000027,0.0,5.0,80.75,0.3890308851474381,8.0
6,C1(C(OC)=O)C(C2=CC=CC(OC)=C2)NC(NC=1CN1CCC(CC1)N1CCCCC1)=O,MCULE-1559075588,H32P240,442.56000000000046,2.4265,2.0,6.0,83.14000000000001,0.6587592488557644,6.0
7,COC(C(NC(CC1=CN(C)N=C1)=O)CC(C)C)=O,MCULE-2294471980,H19P060,267.32899999999995,0.6664999999999992,1.0,5.0,73.22,0.7686979632465099,6.0
8,N1(CCCC1C(=O)NC1C=CC=C(C=1)N1C=CC=N1)CC1=CC=CC=C1F,MCULE-4857065161,H27P360,364.42400000000015,3.6145000000000014,1.0,4.0,50.16,0.752359538945478,5.0
9,CN(C(C1=CC2=C(N=C(C=C2)C)C=C1)=O)C1CCN(CC2=CC=CC=C2)CC1,MCULE-8988599341,H28P420,373.50000000000017,4.279820000000004,0.0,3.0,36.440000000000005,0.684841804596664,4.0
10,C12OCCOC1=CC=C(C(CCCCBr)=O)C=2,MCULE-3929309528,H17P320,299.164,3.205700000000002,0.0,3.0,35.53,0.4756401111950016,5.0
11,COCC1CN(C(NC2C3N(N=CN=3)CCC2)=O)CCC1,MCULE-9937398738,H21P110,293.3710000000001,1.1809999999999996,1.0,5.0,72.28,0.9080949615817494,3.0
12,CN1C(=O)CN(C(C2SC3=C(C=CC=N3)N=2)=O)CC1,MCULE-7824534174,H19P060,276.3210000000001,0.6054999999999999,0.0,5.0,66.4,0.7649788996775865,1.0
13,C1(=CC=C(C=CC(=O)C2C=CC(=CC=2)C)O1)C1=CC=CC=C1OC,MCULE-4147541949,H24P500,318.37200000000007,5.1597200000000045,0.0,3.0,39.44,0.4816544076006253,5.0
14,OC1=C(O)C=C2C(NCCC2=C1)CC1=CC(O)=C(O)C(Br)=C1,MCULE-7639608011,H22P270,366.211,2.7010000000000014,5.0,5.0,92.95,0.5273351731866065,2.0
15,C(=O)(C1=CC=CC=C1OCCOC1=CC=CC=C1)NC(=S)NC1=CC=C(C=C1)OCC1=CC=CC=C1,MCULE-7589180294,H36P500,498.60400000000016,5.8502000000000045,2.0,5.0,68.82000000000001,0.2111866013160129,10.0
16,S(CCCC)(=O)CC(COC(C)C)OC(C)=O,MCULE-7415652396,H17P180,264.387,1.8919,0.0,4.0,52.6,0.596781158596051,9.0
17,C(OCC1C=CC=CC=1)(=O)N/C=C/C1C=CC=CC=1,MCULE-5503567956,H19P350,253.301,3.583700000000002,1.0,2.0,38.33,0.9039443079968502,4.0
18,C1(=NN=C(SCC(=O)NC2C=CC=C(C)C=2C)S1)NC(C(CC)CC)=O,MCULE-1116130850,H26P420,392.5500000000002,4.260440000000004,2.0,6.0,83.97999999999999,0.5178856998662129,8.0
19,C12N(C=NC3SC4CCCCC=4C1=3)N=C(C1C=CC=C(O)C=1)N=2,MCULE-2359409609,H23P350,322.393,3.5904000000000025,1.0,6.0,63.31,0.5815252326317271,1.0
20,C1(N=CC=C(C2=CC=CC=C2)N=1)N1CCC2=C(C=CC=C2)C1,MCULE-8370149821,H22P370,287.366,3.7063000000000015,0.0,3.0,29.020000000000003,0.7192781707397479,2.0
