,protein_name,compound_name,smiles,pocket_name,pocket_com,affinity
0,6dlo,,CC1=C(C2=CC=C(F)C=C2)N=C(NC(C2=C(C)C3=C(CCCC3=O)O2)=O)S1,protein_center,"-18.041,-13.011,7.779",4.058674
1,6dlo,,CC(N(C(NC1C2OC(CC2)C1)=O)C)CS(C)(=O)=O,protein_center,"-18.041,-13.011,7.779",2.4283407
2,6dlo,,S(=O)(=O)(C1C=CC2=C(C=1)N=C(N2C1CCCC1)C)N1CCC(CC1)C(=O)NC1=CC=CC(C)=C1C,protein_center,"-18.041,-13.011,7.779",4.3480854
3,6dlo,,N1CCCCC1CC1=CC=NC=C1,protein_center,"-18.041,-13.011,7.779",1.7866359
4,6dlo,,N1(CCC2C=CC(CNC(=O)NC3=CC=CC=C3C)=CC1=2)C(C1=CC=CC=C1)=O,protein_center,"-18.041,-13.011,7.779",4.26635
5,6dlo,,N1(C(CCCC)C(=O)OCC(=O)C2C=CC(=CC=2)C)C(=O)C2=C(C=CC=C2)C1=O,protein_center,"-18.041,-13.011,7.779",3.30054
6,6dlo,,C1(C(OC)=O)C(C2=CC=CC(OC)=C2)NC(NC=1CN1CCC(CC1)N1CCCCC1)=O,protein_center,"-18.041,-13.011,7.779",3.810832
7,6dlo,,COC(C(NC(CC1=CN(C)N=C1)=O)CC(C)C)=O,protein_center,"-18.041,-13.011,7.779",2.2979455
8,6dlo,,N1(CCCC1C(=O)NC1C=CC=C(C=1)N1C=CC=N1)CC1=CC=CC=C1F,protein_center,"-18.041,-13.011,7.779",4.550915
9,6dlo,,CN(C(C1=CC2=C(N=C(C=C2)C)C=C1)=O)C1CCN(CC2=CC=CC=C2)CC1,protein_center,"-18.041,-13.011,7.779",4.498565
10,6dlo,,C12OCCOC1=CC=C(C(CCCCBr)=O)C=2,protein_center,"-18.041,-13.011,7.779",2.9282043
11,6dlo,,COCC1CN(C(NC2C3N(N=CN=3)CCC2)=O)CCC1,protein_center,"-18.041,-13.011,7.779",2.4066083
12,6dlo,,CN1C(=O)CN(C(C2SC3=C(C=CC=N3)N=2)=O)CC1,protein_center,"-18.041,-13.011,7.779",2.7812693
13,6dlo,,C1(=CC=C(C=CC(=O)C2C=CC(=CC=2)C)O1)C1=CC=CC=C1OC,protein_center,"-18.041,-13.011,7.779",5.1584134
14,6dlo,,OC1=C(O)C=C2C(NCCC2=C1)CC1=CC(O)=C(O)C(Br)=C1,protein_center,"-18.041,-13.011,7.779",2.2935696
15,6dlo,,C(=O)(C1=CC=CC=C1OCCOC1=CC=CC=C1)NC(=S)NC1=CC=C(C=C1)OCC1=CC=CC=C1,protein_center,"-18.041,-13.011,7.779",5.4295187
16,6dlo,,S(CCCC)(=O)CC(COC(C)C)OC(C)=O,protein_center,"-18.041,-13.011,7.779",1.8664334
17,6dlo,,C(OCC1C=CC=CC=1)(=O)N/C=C/C1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",2.687094
18,6dlo,,C1(=NN=C(SCC(=O)NC2C=CC=C(C)C=2C)S1)NC(C(CC)CC)=O,protein_center,"-18.041,-13.011,7.779",4.5939474
19,6dlo,,C12N(C=NC3SC4CCCCC=4C1=3)N=C(C1C=CC=C(O)C=1)N=2,protein_center,"-18.041,-13.011,7.779",5.3726096
20,6dlo,,C1(N=CC=C(C2=CC=CC=C2)N=1)N1CCC2=C(C=CC=C2)C1,protein_center,"-18.041,-13.011,7.779",4.613391
21,6dlo,,N1(CC2=CC=C(C=C2)Cl)C2C=CC=CC=2C(SCC(=O)NC2C=CC3=C(OCCO3)C=2)=C1,protein_center,"-18.041,-13.011,7.779",5.4850674
22,6dlo,,N1C(CC2CCOC3(CCN(CC3)C(=O)C3C=C(Cl)C=CC=3F)C2)=NOC=1C(C)C,protein_center,"-18.041,-13.011,7.779",4.267236
23,6dlo,,C1(NC(=O)CN2CCCOC3=CC=CC(CCC4CCCCN4CC2)=C3)C=NN(C)C=1C,protein_center,"-18.041,-13.011,7.779",4.2663627
24,6dlo,,N1([C@H](CO)C[C@@H](N(C)C)C1)CC1=CC(F)=CC=C1N1C=CC=N1,protein_center,"-18.041,-13.011,7.779",2.9268093
25,6dlo,,C12C=C(C=CC=1C1=C(C=CC=C1)C2)NC(=O)C1C=CC(=CC=1)Br,protein_center,"-18.041,-13.011,7.779",4.741303
26,6dlo,,C1(C(=O)N(CCCC)CC2=CC=CS2)=NN2C(N=C(C=C2C)C)=N1,protein_center,"-18.041,-13.011,7.779",2.7186003
27,6dlo,,O=C(C1=CC=NC=C1)NCCCN1CCCC1,protein_center,"-18.041,-13.011,7.779",3.0033076
